0;1;2;3;4;5;6;7
rc;svm;0.75;0.76;0.7549295774647888;0.75;0.25;2018-09-15 14:12:54.527751
rc;nv;0.75;0.76;0.7549295774647888;0.75;0.25;2018-09-15 14:12:54.557599
0;1;2;3;4;5;6;7
lbp;rf;0.8;0.8222222222222222;0.8000000000000002;0.8;0.2;2018-09-15 14:14:03.967690
lbp;svm;0.4;0.16;0.22857142857142856;0.4;0.6;2018-09-15 14:14:03.999621
lbp;nv;0.4;0.16;0.22857142857142856;0.4;0.6;2018-09-15 14:14:04.028838
lbp;sgdc;0.45;0.20500000000000002;0.28095238095238095;0.45;0.55;2018-09-15 14:14:04.057724
rc;rf;0.8;0.825;0.8000000000000002;0.8;0.2;2018-09-15 14:14:11.646577
rc;svm;0.3;0.3142857142857143;0.3069767441860465;0.3;0.7;2018-09-15 14:14:11.676130
rc;nv;0.75;0.76;0.7549295774647888;0.75;0.25;2018-09-15 14:14:11.704814
rc;sgdc;0.7;0.6851190476190476;0.6924418243872168;0.7;0.3;2018-09-15 14:14:11.734214
0;1;2;3;4;5;6;7
lbp;rf;0.8;0.8222222222222222;0.8000000000000002;0.8;0.2;2018-09-15 14:15:28.594877
lbp;svm;0.4;0.16;0.22857142857142856;0.4;0.6;2018-09-15 14:15:28.625986
lbp;nv;0.4;0.16;0.22857142857142856;0.4;0.6;2018-09-15 14:15:28.655461
lbp;sgdc;0.5;0.25;0.3333333333333333;0.5;0.5;2018-09-15 14:15:28.685206
rc;rf;0.8;0.825;0.8000000000000002;0.8;0.2;2018-09-15 14:15:36.334684
rc;svm;0.75;0.76;0.7549295774647888;0.75;0.25;2018-09-15 14:15:36.365546
rc;nv;0.75;0.76;0.7549295774647888;0.75;0.25;2018-09-15 14:15:36.394209
rc;sgdc;0.6;0.36;0.45;0.6;0.4;2018-09-15 14:15:36.423405
